race_id,driver_id,constructor_id,position,q1,q2,q3
2022_1,leclerc,ferrari,1,1:31.471,1:30.932,1:30.558
2022_1,max_verstappen,red_bull,2,1:31.785,1:30.757,1:30.681
2022_1,sainz,ferrari,3,1:31.567,1:30.787,1:30.687
2022_1,perez,red_bull,4,1:32.311,1:31.008,1:30.921
2022_1,hamilton,mercedes,5,1:32.285,1:31.048,1:31.238
2022_1,bottas,alfa,6,1:31.919,1:31.717,1:31.560
2022_1,kevin_magnussen,haas,7,1:31.955,1:31.461,1:31.808
2022_1,alonso,alpine,8,1:32.346,1:31.621,1:32.195
2022_1,russell,mercedes,9,1:32.269,1:31.252,1:32.216
2022_1,gasly,alphatauri,10,1:32.096,1:31.635,1:32.338
2022_1,ocon,alpine,11,1:32.041,1:31.782,
2022_1,mick_schumacher,haas,12,1:32.380,1:31.998,
2022_1,norris,mclaren,13,1:32.239,1:32.008,
2022_1,albon,williams,14,1:32.726,1:32.664,
2022_1,zhou,alfa,15,1:32.493,1:33.543,
2022_1,tsunoda,alphatauri,16,1:32.750,,
2022_1,hulkenberg,aston_martin,17,1:32.777,,
2022_1,ricciardo,mclaren,18,1:32.945,,
2022_1,stroll,aston_martin,19,1:33.032,,
2022_1,latifi,williams,20,1:33.634,,
2022_2,perez,red_bull,1,1:29.705,1:28.924,1:28.200
2022_2,leclerc,ferrari,2,1:29.039,1:28.780,1:28.225
2022_2,sainz,ferrari,3,1:28.855,1:28.686,1:28.402
2022_2,max_verstappen,red_bull,4,1:28.928,1:28.945,1:28.461
2022_2,ocon,alpine,5,1:30.093,1:29.584,1:29.068
2022_2,russell,mercedes,6,1:29.680,1:29.618,1:29.104
2022_2,alonso,alpine,7,1:29.978,1:29.295,1:29.147
2022_2,bottas,alfa,8,1:29.683,1:29.404,1:29.183
2022_2,gasly,alphatauri,9,1:29.891,1:29.418,1:29.254
2022_2,kevin_magnussen,haas,10,1:29.831,1:29.546,1:29.588
2022_2,norris,mclaren,11,1:29.957,1:29.651,
2022_2,ricciardo,mclaren,12,1:30.009,1:29.773,
2022_2,zhou,alfa,13,1:29.978,1:29.819,
2022_2,mick_schumacher,haas,14,1:30.167,1:29.920,
2022_2,stroll,aston_martin,15,1:30.256,1:31.009,
2022_2,hamilton,mercedes,16,1:30.343,,
2022_2,albon,williams,17,1:30.492,,
2022_2,hulkenberg,aston_martin,18,1:30.543,,
2022_2,latifi,williams,19,1:31.817,,
2022_2,tsunoda,alphatauri,20,,,
2022_3,leclerc,ferrari,1,1:18.881,1:18.606,1:17.868
2022_3,max_verstappen,red_bull,2,1:18.580,1:18.611,1:18.154
2022_3,perez,red_bull,3,1:18.834,1:18.340,1:18.240
2022_3,norris,mclaren,4,1:19.280,1:19.066,1:18.703
2022_3,hamilton,mercedes,5,1:19.401,1:19.106,1:18.825
2022_3,russell,mercedes,6,1:19.405,1:19.076,1:18.933
2022_3,ricciardo,mclaren,7,1:19.665,1:19.130,1:19.032
2022_3,ocon,alpine,8,1:19.605,1:19.136,1:19.061
2022_3,sainz,ferrari,9,1:18.983,1:18.469,1:19.408
2022_3,alonso,alpine,10,1:19.192,1:18.815,
2022_3,gasly,alphatauri,11,1:19.580,1:19.226,
2022_3,bottas,alfa,12,1:19.251,1:19.410,
2022_3,tsunoda,alphatauri,13,1:19.742,1:19.424,
2022_3,zhou,alfa,14,1:19.910,1:20.155,
2022_3,mick_schumacher,haas,15,1:20.104,1:20.465,
2022_3,albon,williams,16,1:20.135,,
2022_3,kevin_magnussen,haas,17,1:20.254,,
2022_3,vettel,aston_martin,18,1:21.149,,
2022_3,latifi,williams,19,1:21.372,,
2022_3,stroll,aston_martin,20,,,
2022_4,max_verstappen,red_bull,1,1:19.295,1:18.793,1:27.999
2022_4,leclerc,ferrari,2,1:18.796,1:19.584,1:28.778
2022_4,norris,mclaren,3,1:20.168,1:19.294,1:29.131
2022_4,kevin_magnussen,haas,4,1:20.147,1:19.902,1:29.164
2022_4,alonso,alpine,5,1:20.198,1:19.595,1:29.202
2022_4,ricciardo,mclaren,6,1:19.980,1:20.031,1:29.742
2022_4,perez,red_bull,7,1:19.773,1:19.296,1:29.808
2022_4,bottas,alfa,8,1:20.419,1:20.192,1:30.439
2022_4,vettel,aston_martin,9,1:20.364,1:19.957,1:31.062
2022_4,sainz,ferrari,10,1:19.305,1:18.990,
2022_4,russell,mercedes,11,1:20.383,1:20.757,
2022_4,mick_schumacher,haas,12,1:20.422,1:20.916,
2022_4,hamilton,mercedes,13,1:20.470,1:21.138,
2022_4,zhou,alfa,14,1:19.730,1:21.434,
2022_4,stroll,aston_martin,15,1:20.342,1:28.119,
2022_4,tsunoda,alphatauri,16,1:20.474,,
2022_4,gasly,alphatauri,17,1:20.732,,
2022_4,latifi,williams,18,1:21.971,,
2022_4,ocon,alpine,19,1:22.338,,
2022_4,albon,williams,20,,,
2022_5,leclerc,ferrari,1,1:29.474,1:29.130,1:28.796
2022_5,sainz,ferrari,2,1:30.079,1:29.729,1:28.986
2022_5,max_verstappen,red_bull,3,1:29.836,1:29.202,1:28.991
2022_5,perez,red_bull,4,1:30.055,1:29.673,1:29.036
2022_5,bottas,alfa,5,1:30.845,1:29.751,1:29.475
2022_5,hamilton,mercedes,6,1:30.388,1:29.797,1:29.625
2022_5,gasly,alphatauri,7,1:30.779,1:30.128,1:29.690
2022_5,norris,mclaren,8,1:30.761,1:29.634,1:29.750
2022_5,tsunoda,alphatauri,9,1:30.485,1:30.031,1:29.932
2022_5,stroll,aston_martin,10,1:30.441,1:29.996,1:30.676
2022_5,alonso,alpine,11,1:30.407,1:30.160,
2022_5,russell,mercedes,12,1:30.490,1:30.173,
2022_5,vettel,aston_martin,13,1:30.677,1:30.214,
2022_5,ricciardo,mclaren,14,1:30.583,1:30.310,
2022_5,mick_schumacher,haas,15,1:30.645,1:30.423,
2022_5,kevin_magnussen,haas,16,1:30.975,,
2022_5,zhou,alfa,17,1:31.020,,
2022_5,albon,williams,18,1:31.266,,
2022_5,latifi,williams,19,1:31.325,,
2022_5,ocon,alpine,20,,,
2023_1,max_verstappen,red_bull,1,1:31.295,1:30.503,1:29.708
2023_1,perez,red_bull,2,1:31.479,1:30.746,1:29.846
2023_1,leclerc,ferrari,3,1:31.094,1:30.282,1:30.000
2023_1,sainz,ferrari,4,1:30.993,1:30.515,1:30.154
2023_1,alonso,aston_martin,5,1:31.158,1:30.645,1:30.336
2023_1,russell,mercedes,6,1:31.057,1:30.507,1:30.340
2023_1,hamilton,mercedes,7,1:31.543,1:30.513,1:30.384
2023_1,stroll,aston_martin,8,1:31.184,1:31.127,1:30.836
2023_1,ocon,alpine,9,1:31.508,1:30.914,1:30.984
2023_1,hulkenberg,haas,10,1:31.204,1:30.809,
2023_1,norris,mclaren,11,1:31.652,1:31.381,
2023_1,bottas,alfa,12,1:31.504,1:31.443,
2023_1,zhou,alfa,13,1:31.615,1:31.473,
2023_1,tsunoda,alphatauri,14,1:31.400,1:32.510,
2023_1,albon,williams,15,1:31.461,,
2023_1,sargeant,williams,16,1:31.652,,
2023_1,kevin_magnussen,haas,17,1:31.892,,
2023_1,piastri,mclaren,18,1:32.101,,
2023_1,de_vries,alphatauri,19,1:32.121,,
2023_1,gasly,alpine,20,1:32.181,,
2023_2,perez,red_bull,1,1:29.244,1:28.635,1:28.265
2023_2,leclerc,ferrari,2,1:29.376,1:28.903,1:28.420
2023_2,alonso,aston_martin,3,1:29.298,1:28.757,1:28.730
2023_2,russell,mercedes,4,1:29.592,1:29.132,1:28.857
2023_2,sainz,ferrari,5,1:29.411,1:28.957,1:28.931
2023_2,stroll,aston_martin,6,1:29.335,1:28.962,1:28.945
2023_2,ocon,alpine,7,1:29.707,1:29.255,1:29.078
2023_2,hamilton,mercedes,8,1:29.689,1:29.374,1:29.223
2023_2,piastri,mclaren,9,1:29.706,1:29.378,1:29.243
2023_2,gasly,alpine,10,1:29.890,1:29.411,1:29.357
2023_2,hulkenberg,haas,11,1:29.547,1:29.451,
2023_2,zhou,alfa,12,1:29.654,1:29.461,
2023_2,kevin_magnussen,haas,13,1:29.744,1:29.634,
2023_2,bottas,alfa,14,1:29.929,1:29.668,
2023_2,max_verstappen,red_bull,15,1:28.761,1:49.953,
2023_2,tsunoda,alphatauri,16,1:29.939,,
2023_2,albon,williams,17,1:29.994,,
2023_2,de_vries,alphatauri,18,1:30.244,,
2023_2,norris,mclaren,19,1:30.447,,
2023_2,sargeant,williams,20,2:08.510,,
2023_3,max_verstappen,red_bull,1,1:17.384,1:17.056,1:16.732
2023_3,russell,mercedes,2,1:17.654,1:17.513,1:16.968
2023_3,hamilton,mercedes,3,1:17.689,1:17.551,1:17.104
2023_3,alonso,aston_martin,4,1:17.832,1:17.283,1:17.139
2023_3,sainz,ferrari,5,1:17.928,1:17.349,1:17.270
2023_3,stroll,aston_martin,6,1:17.873,1:17.616,1:17.308
2023_3,leclerc,ferrari,7,1:18.218,1:17.390,1:17.369
2023_3,albon,williams,8,1:17.962,1:17.761,1:17.609
2023_3,gasly,alpine,9,1:18.312,1:17.574,1:17.675
2023_3,hulkenberg,haas,10,1:18.029,1:17.412,1:17.735
2023_3,ocon,alpine,11,1:17.770,1:17.768,
2023_3,tsunoda,alphatauri,12,1:18.471,1:18.099,
2023_3,norris,mclaren,13,1:18.243,1:18.119,
2023_3,kevin_magnussen,haas,14,1:18.159,1:18.129,
2023_3,de_vries,alphatauri,15,1:18.450,1:18.335,
2023_3,piastri,mclaren,16,1:18.517,,
2023_3,zhou,alfa,17,1:18.540,,
2023_3,sargeant,williams,18,1:18.557,,
2023_3,bottas,alfa,19,1:18.714,,
2023_3,perez,red_bull,20,,,
2023_4,leclerc,ferrari,1,1:41.269,1:41.037,1:40.203
2023_4,max_verstappen,red_bull,2,1:41.398,1:40.822,1:40.391
2023_4,perez,red_bull,3,1:41.131,1:41.131,1:40.495
2023_4,sainz,ferrari,4,1:42.197,1:41.016,1:41.016
2023_4,hamilton,mercedes,5,1:42.113,1:41.177,1:41.177
2023_4,alonso,aston_martin,6,1:41.720,1:41.370,1:41.253
2023_4,norris,mclaren,7,1:42.154,1:41.485,1:41.281
2023_4,tsunoda,alphatauri,8,1:42.234,1:41.569,1:41.581
2023_4,stroll,aston_martin,9,1:42.524,1:41.576,1:41.611
2023_4,piastri,mclaren,10,1:42.455,1:41.636,1:41.611
2023_4,russell,mercedes,11,1:42.073,1:41.654,
2023_4,ocon,alpine,12,1:42.622,1:41.798,
2023_4,albon,williams,13,1:42.171,1:41.818,
2023_4,bottas,alfa,14,1:42.582,1:42.259,
2023_4,sargeant,williams,15,1:42.242,1:42.395,
2023_4,zhou,alfa,16,1:42.642,,
2023_4,hulkenberg,haas,17,1:42.755,,
2023_4,kevin_magnussen,haas,18,1:43.417,,
2023_4,gasly,alpine,19,1:44.853,,
2023_4,de_vries,alphatauri,20,1:55.282,,
2023_5,perez,red_bull,1,1:27.713,1:27.328,1:26.841
2023_5,alonso,aston_martin,2,1:28.179,1:27.097,1:27.202
2023_5,sainz,ferrari,3,1:27.686,1:27.148,1:27.349
2023_5,kevin_magnussen,haas,4,1:27.809,1:27.673,1:27.767
2023_5,gasly,alpine,5,1:28.061,1:27.612,1:27.786
2023_5,russell,mercedes,6,1:28.086,1:27.743,1:27.804
2023_5,leclerc,ferrari,7,1:27.713,1:26.964,1:27.861
2023_5,ocon,alpine,8,1:27.872,1:27.444,1:27.935
2023_5,max_verstappen,red_bull,9,1:27.363,1:26.814,
2023_5,bottas,alfa,10,1:27.864,1:27.564,
2023_5,albon,williams,11,1:28.234,1:27.795,
2023_5,hulkenberg,haas,12,1:27.945,1:27.903,
2023_5,hamilton,mercedes,13,1:27.846,1:27.975,
2023_5,zhou,alfa,14,1:28.180,1:28.091,
2023_5,de_vries,alphatauri,15,1:28.325,1:28.395,
2023_5,norris,mclaren,16,1:28.394,,
2023_5,tsunoda,alphatauri,17,1:28.429,,
2023_5,stroll,aston_martin,18,1:28.476,,
2023_5,piastri,mclaren,19,1:28.484,,
2023_5,sargeant,williams,20,1:28.577,,
2024_1,max_verstappen,red_bull,1,1:30.031,1:29.374,1:29.179
2024_1,leclerc,ferrari,2,1:30.243,1:29.165,1:29.407
2024_1,russell,mercedes,3,1:30.350,1:29.922,1:29.485
2024_1,sainz,ferrari,4,1:29.909,1:29.573,1:29.507
2024_1,perez,red_bull,5,1:30.221,1:29.932,1:29.537
2024_1,alonso,aston_martin,6,1:30.179,1:29.801,1:29.542
2024_1,norris,mclaren,7,1:30.143,1:29.941,1:29.614
2024_1,piastri,mclaren,8,1:30.531,1:30.122,1:29.683
2024_1,hamilton,mercedes,9,1:30.451,1:29.718,1:29.710
2024_1,hulkenberg,haas,10,1:30.566,1:29.851,1:30.502
2024_1,tsunoda,rb,11,1:30.481,1:30.129,
2024_1,stroll,aston_martin,12,1:29.965,1:30.200,
2024_1,albon,williams,13,1:30.397,1:30.221,
2024_1,ricciardo,rb,14,1:30.562,1:30.278,
2024_1,kevin_magnussen,haas,15,1:30.646,1:30.529,
2024_1,bottas,sauber,16,1:30.756,,
2024_1,zhou,sauber,17,1:30.757,,
2024_1,sargeant,williams,18,1:30.770,,
2024_1,ocon,alpine,19,1:30.793,,
2024_1,gasly,alpine,20,1:30.948,,
2024_2,max_verstappen,red_bull,1,1:28.171,1:28.033,1:27.472
2024_2,leclerc,ferrari,2,1:28.318,1:28.112,1:27.791
2024_2,perez,red_bull,3,1:28.638,1:28.467,1:27.807
2024_2,alonso,aston_martin,4,1:28.706,1:28.122,1:27.846
2024_2,piastri,mclaren,5,1:28.755,1:28.343,1:28.089
2024_2,norris,mclaren,6,1:28.805,1:28.479,1:28.132
2024_2,russell,mercedes,7,1:28.749,1:28.448,1:28.316
2024_2,hamilton,mercedes,8,1:28.994,1:28.606,1:28.460
2024_2,tsunoda,rb,9,1:28.988,1:28.564,1:28.547
2024_2,stroll,aston_martin,10,1:28.250,1:28.578,1:28.572
2024_2,bearman,ferrari,11,1:28.984,1:28.642,
2024_2,albon,williams,12,1:29.107,1:28.980,
2024_2,kevin_magnussen,haas,13,1:29.069,1:29.020,
2024_2,ricciardo,rb,14,1:29.065,1:29.025,
2024_2,hulkenberg,haas,15,1:29.055,,
2024_2,bottas,sauber,16,1:29.179,,
2024_2,ocon,alpine,17,1:29.475,,
2024_2,gasly,alpine,18,1:29.479,,
2024_2,sargeant,williams,19,1:29.526,,
2024_2,zhou,sauber,20,,,
2024_3,max_verstappen,red_bull,1,1:16.819,1:16.387,1:15.915
2024_3,sainz,ferrari,2,1:16.731,1:16.189,1:16.185
2024_3,perez,red_bull,3,1:16.805,1:16.631,1:16.274
2024_3,norris,mclaren,4,1:17.430,1:16.750,1:16.315
2024_3,leclerc,ferrari,5,1:16.984,1:16.304,1:16.435
2024_3,piastri,mclaren,6,1:17.369,1:16.601,1:16.572
2024_3,russell,mercedes,7,1:17.062,1:16.901,1:16.724
2024_3,tsunoda,rb,8,1:17.356,1:16.791,1:16.788
2024_3,stroll,aston_martin,9,1:17.376,1:16.780,1:17.072
2024_3,alonso,aston_martin,10,1:16.991,1:16.710,1:17.552
2024_3,hamilton,mercedes,11,1:17.499,1:16.960,
2024_3,albon,williams,12,1:17.130,1:17.167,
2024_3,bottas,sauber,13,1:17.543,1:17.340,
2024_3,kevin_magnussen,haas,14,1:17.709,1:17.427,
2024_3,ocon,alpine,15,1:17.617,1:17.697,
2024_3,hulkenberg,haas,16,1:17.976,,
2024_3,gasly,alpine,17,1:17.982,,
2024_3,ricciardo,rb,18,1:18.085,,
2024_3,zhou,sauber,19,1:18.188,,
2024_4,max_verstappen,red_bull,1,1:28.866,1:28.740,1:28.197
2024_4,perez,red_bull,2,1:29.303,1:28.752,1:28.263
2024_4,norris,mclaren,3,1:29.536,1:28.940,1:28.489
2024_4,sainz,ferrari,4,1:29.513,1:29.099,1:28.682
2024_4,alonso,aston_martin,5,1:29.254,1:29.082,1:28.686
2024_4,piastri,mclaren,6,1:29.425,1:29.148,1:28.760
2024_4,hamilton,mercedes,7,1:29.661,1:28.887,1:28.766
2024_4,leclerc,ferrari,8,1:29.338,1:29.196,1:28.786
2024_4,russell,mercedes,9,1:29.799,1:29.140,1:29.008
2024_4,tsunoda,rb,10,1:29.775,1:29.417,1:29.413
2024_4,ricciardo,rb,11,1:29.727,1:29.472,
2024_4,hulkenberg,haas,12,1:29.821,1:29.494,
2024_4,bottas,sauber,13,1:29.602,1:29.593,
2024_4,albon,williams,14,1:29.963,1:29.714,
2024_4,ocon,alpine,15,1:29.811,1:29.816,
2024_4,stroll,aston_martin,16,1:30.024,,
2024_4,gasly,alpine,17,1:30.119,,
2024_4,kevin_magnussen,haas,18,1:30.131,,
2024_4,sargeant,williams,19,1:30.139,,
2024_4,zhou,sauber,20,1:30.143,,
2024_5,max_verstappen,red_bull,1,1:34.742,1:33.794,1:33.660
2024_5,perez,red_bull,2,1:35.457,1:34.026,1:33.982
2024_5,alonso,aston_martin,3,1:35.116,1:34.652,1:34.148
2024_5,norris,mclaren,4,1:34.842,1:34.460,1:34.165
2024_5,piastri,mclaren,5,1:35.014,1:34.659,1:34.273
2024_5,leclerc,ferrari,6,1:34.797,1:34.399,1:34.289
2024_5,sainz,ferrari,7,1:34.970,1:34.368,1:34.297
2024_5,russell,mercedes,8,1:35.084,1:34.609,1:34.433
2024_5,hulkenberg,haas,9,1:35.068,1:34.667,1:34.604
2024_5,bottas,sauber,10,1:35.169,1:34.769,1:34.665
2024_5,stroll,aston_martin,11,1:35.334,1:34.838,
2024_5,ricciardo,rb,12,1:35.443,1:34.934,
2024_5,ocon,alpine,13,1:35.356,1:35.223,
2024_5,albon,williams,14,1:35.384,1:35.241,
2024_5,gasly,alpine,15,1:35.287,1:35.463,
2024_5,zhou,sauber,16,1:35.505,,
2024_5,kevin_magnussen,haas,17,1:35.516,,
2024_5,hamilton,mercedes,18,1:35.573,,
2024_5,tsunoda,rb,19,1:35.746,,
2024_5,sargeant,williams,20,1:36.358,,
2024_6,max_verstappen,red_bull,1,1:27.689,1:27.566,1:27.241
2025_1,norris,mclaren,1,1:15.912,1:15.415,1:15.096
2025_1,piastri,mclaren,2,1:16.062,1:15.468,1:15.180
2025_1,max_verstappen,red_bull,3,1:16.018,1:15.565,1:15.481
2025_1,russell,mercedes,4,1:15.971,1:15.798,1:15.546
2025_1,tsunoda,rb,5,1:16.225,1:16.009,1:15.670
2025_1,albon,williams,6,1:16.245,1:16.017,1:15.737
2025_1,leclerc,ferrari,7,1:16.029,1:15.827,1:15.755
2025_1,hamilton,ferrari,8,1:16.213,1:15.919,1:15.973
2025_1,gasly,alpine,9,1:16.328,1:16.112,1:15.980
2025_1,sainz,williams,10,1:16.360,1:15.931,1:16.062
2025_1,hadjar,rb,11,1:16.354,1:16.175,
2025_1,alonso,aston_martin,12,1:16.288,1:16.453,
2025_1,stroll,aston_martin,13,1:16.369,1:16.483,
2025_1,doohan,alpine,14,1:16.315,1:16.863,
2025_1,bortoleto,sauber,15,1:16.516,1:17.520,
2025_1,antonelli,mercedes,16,1:16.525,,
2025_1,hulkenberg,sauber,17,1:16.579,,
2025_1,lawson,red_bull,18,1:17.094,,
2025_1,ocon,haas,19,1:17.147,,
2025_1,bearman,haas,20,,,
2025_2,piastri,mclaren,1,1:31.591,1:31.200,1:30.641
2025_2,russell,mercedes,2,1:31.295,1:31.307,1:30.723
2025_2,norris,mclaren,3,1:30.983,1:30.787,1:30.793
2025_2,max_verstappen,red_bull,4,1:31.424,1:31.142,1:30.817
2025_2,hamilton,ferrari,5,1:31.690,1:31.501,1:30.927
2025_2,leclerc,ferrari,6,1:31.579,1:31.450,1:31.021
2025_2,hadjar,rb,7,1:31.162,1:31.253,1:31.079
2025_2,antonelli,mercedes,8,1:31.676,1:31.590,1:31.103
2025_2,tsunoda,rb,9,1:31.238,1:31.260,1:31.638
2025_2,albon,williams,10,1:31.503,1:31.595,1:31.706
2025_2,ocon,haas,11,1:31.876,1:31.625,
2025_2,hulkenberg,sauber,12,1:31.921,1:31.632,
2025_2,alonso,aston_martin,13,1:31.719,1:31.688,
2025_2,stroll,aston_martin,14,1:31.923,1:31.773,
2025_2,sainz,williams,15,1:31.628,1:31.840,
2025_2,gasly,alpine,16,1:31.992,,
2025_2,bearman,haas,17,1:32.018,,
2025_2,doohan,alpine,18,1:32.092,,
2025_2,bortoleto,sauber,19,1:32.141,,
2025_2,lawson,red_bull,20,1:32.174,,
2025_3,max_verstappen,red_bull,1,1:27.943,1:27.502,1:26.983
2025_3,norris,mclaren,2,1:27.845,1:27.146,1:26.995
2025_3,piastri,mclaren,3,1:27.687,1:27.507,1:27.027
2025_3,leclerc,ferrari,4,1:27.920,1:27.555,1:27.299
2025_3,russell,mercedes,5,1:27.843,1:27.400,1:27.318
2025_3,antonelli,mercedes,6,1:27.968,1:27.639,1:27.555
2025_3,hadjar,rb,7,1:28.278,1:27.775,1:27.569
2025_3,hamilton,ferrari,8,1:27.942,1:27.610,1:27.610
2025_3,albon,williams,9,1:28.218,1:27.783,1:27.615
2025_3,bearman,haas,10,1:28.228,1:27.711,1:27.867
2025_3,gasly,alpine,11,1:28.186,1:27.822,
2025_3,sainz,williams,12,1:28.209,1:27.836,
2025_3,alonso,aston_martin,13,1:28.337,1:27.897,
2025_3,lawson,rb,14,1:28.554,1:27.906,
2025_3,tsunoda,red_bull,15,1:27.967,1:28.000,
2025_3,hulkenberg,sauber,16,1:28.570,,
2025_3,bortoleto,sauber,17,1:28.622,,
2025_3,ocon,haas,18,1:28.696,,
2025_3,doohan,alpine,19,1:28.877,,
2025_3,stroll,aston_martin,20,1:29.271,,
2025_4,piastri,mclaren,1,1:31.392,1:30.454,1:29.841
2025_4,russell,mercedes,2,1:31.494,1:30.664,1:30.009
2025_4,leclerc,ferrari,3,1:31.454,1:30.724,1:30.175
2025_4,antonelli,mercedes,4,1:31.415,1:30.716,1:30.213
2025_4,gasly,alpine,5,1:31.462,1:30.643,1:30.216
2025_4,norris,mclaren,6,1:31.107,1:30.560,1:30.267
2025_4,max_verstappen,red_bull,7,1:31.303,1:31.019,1:30.423
2025_4,sainz,williams,8,1:31.591,1:30.844,1:30.680
2025_4,hamilton,ferrari,9,1:31.219,1:31.009,1:30.772
2025_4,tsunoda,red_bull,10,1:31.751,1:31.228,1:31.303
2025_4,doohan,alpine,11,1:31.414,1:31.245,
2025_4,hadjar,rb,12,1:31.591,1:31.271,
2025_4,alonso,aston_martin,13,1:31.634,1:31.886,
2025_4,ocon,haas,14,1:31.594,,
2025_4,albon,williams,15,1:32.040,,
2025_4,hulkenberg,sauber,16,1:32.067,,
2025_4,lawson,rb,17,1:32.165,,
2025_4,bortoleto,sauber,18,1:32.186,,
2025_4,stroll,aston_martin,19,1:32.283,,
2025_4,bearman,haas,20,1:32.373,,
2025_5,max_verstappen,red_bull,1,1:27.778,1:27.529,1:27.294
2025_5,piastri,mclaren,2,1:27.901,1:27.545,1:27.304
2025_5,russell,mercedes,3,1:28.282,1:27.599,1:27.407
2025_5,leclerc,ferrari,4,1:28.552,1:27.866,1:27.670
2025_5,antonelli,mercedes,5,1:28.128,1:27.798,1:27.866
2025_5,sainz,williams,6,1:28.354,1:28.024,1:28.164
2025_5,hamilton,ferrari,7,1:28.372,1:28.102,1:28.201
2025_5,tsunoda,red_bull,8,1:28.226,1:27.990,1:28.204
2025_5,gasly,alpine,9,1:28.421,1:28.025,1:28.367
2025_5,norris,mclaren,10,1:27.805,1:27.481,
2025_5,albon,williams,11,1:28.279,1:28.109,
2025_5,lawson,rb,12,1:28.561,1:28.191,
2025_5,alonso,aston_martin,13,1:28.548,1:28.303,
2025_5,hadjar,rb,14,1:28.571,1:28.418,
2025_5,bearman,haas,15,1:28.536,1:28.648,
2025_5,stroll,aston_martin,16,1:28.645,,
2025_5,doohan,alpine,17,1:28.739,,
2025_5,hulkenberg,sauber,18,1:28.782,,
2025_5,ocon,haas,19,1:29.092,,
2025_5,bortoleto,sauber,20,1:29.462,,
